,,unit
Satellite account,Unused waste (pack_sup_waste),tonne
Satellite account,Food (pack_use_waste),tonne
Satellite account,Manure (pack_use_waste),tonne
Satellite account,Textile (pack_use_waste),tonne
Satellite account,Wood (pack_use_waste),tonne
Satellite account,Paper (pack_use_waste),tonne
Satellite account,Plastics (pack_use_waste),tonne
Satellite account,Glass (pack_use_waste),tonne
Satellite account,Ashes (pack_use_waste),tonne
Satellite account,Steel (pack_use_waste),tonne
Satellite account,Precious metals (pack_use_waste),tonne
Satellite account,Aluminium (pack_use_waste),tonne
Satellite account,Lead (pack_use_waste),tonne
Satellite account,Copper (pack_use_waste),tonne
Satellite account,non-ferrous metals (pack_use_waste),tonne
Satellite account,Construction materials and mining waste (excl. unused mining material) (pack_use_waste),tonne
Satellite account,Oils and hazardous materials (pack_use_waste),tonne
Satellite account,Sewage (pack_use_waste),tonne
Satellite account,Mining waste (pack_use_waste),tonne
Satellite account,Unused waste (pack_use_waste),tonne
Satellite account,Food (mach_sup_waste),tonne
Satellite account,Manure (mach_sup_waste),tonne
Satellite account,Textile (mach_sup_waste),tonne
Satellite account,Wood (mach_sup_waste),tonne
Satellite account,Paper (mach_sup_waste),tonne
Satellite account,Plastics (mach_sup_waste),tonne
Satellite account,Glass (mach_sup_waste),tonne
Satellite account,Ashes (mach_sup_waste),tonne
Satellite account,Steel (mach_sup_waste),tonne
Satellite account,Precious metals (mach_sup_waste),tonne
Satellite account,Aluminium (mach_sup_waste),tonne
Satellite account,Lead (mach_sup_waste),tonne
Satellite account,Copper (mach_sup_waste),tonne
Satellite account,non-ferrous metals (mach_sup_waste),tonne
Satellite account,Construction materials and mining waste (excl. unused mining material) (mach_sup_waste),tonne
Satellite account,Oils and hazardous materials (mach_sup_waste),tonne
Satellite account,Sewage (mach_sup_waste),tonne
Satellite account,Mining waste (mach_sup_waste),tonne
Satellite account,Unused waste (mach_sup_waste),tonne
Satellite account,Food (mach_use_waste),tonne
Satellite account,Manure (mach_use_waste),tonne
Satellite account,Textile (mach_use_waste),tonne
Satellite account,Wood (mach_use_waste),tonne
Satellite account,Paper (mach_use_waste),tonne
Satellite account,Plastics (mach_use_waste),tonne
Satellite account,Glass (mach_use_waste),tonne
Satellite account,Ashes (mach_use_waste),tonne
Satellite account,Steel (mach_use_waste),tonne
Satellite account,Precious metals (mach_use_waste),tonne
Satellite account,Aluminium (mach_use_waste),tonne
Satellite account,Lead (mach_use_waste),tonne
Satellite account,Copper (mach_use_waste),tonne
Satellite account,non-ferrous metals (mach_use_waste),tonne
Satellite account,Construction materials and mining waste (excl. unused mining material) (mach_use_waste),tonne
Satellite account,Oils and hazardous materials (mach_use_waste),tonne
Satellite account,Sewage (mach_use_waste),tonne
Satellite account,Mining waste (mach_use_waste),tonne
Satellite account,Unused waste (mach_use_waste),tonne
Satellite account,Food (stock_addition),tonne
Satellite account,Manure (stock_addition),tonne
Satellite account,Textile (stock_addition),tonne
Satellite account,Wood (stock_addition),tonne
Satellite account,Paper (stock_addition),tonne
Satellite account,Plastics (stock_addition),tonne
Satellite account,Glass (stock_addition),tonne
Satellite account,Ashes (stock_addition),tonne
Satellite account,Steel (stock_addition),tonne
Satellite account,Precious metals (stock_addition),tonne
Satellite account,Aluminium (stock_addition),tonne
Satellite account,Lead (stock_addition),tonne
Satellite account,Copper (stock_addition),tonne
Satellite account,non-ferrous metals (stock_addition),tonne
Satellite account,Construction materials and mining waste (excl. unused mining material) (stock_addition),tonne
Satellite account,Oils and hazardous materials (stock_addition),tonne
Satellite account,Sewage (stock_addition),tonne
Satellite account,Mining waste (stock_addition),tonne
Satellite account,Unused waste (stock_addition),tonne
Satellite account,supply of crop residues (crop_res),tonne
Satellite account,use as feed of crop residues (crop_res),tonne
Satellite account,use as straw of crop residues (crop_res),tonne
Satellite account,supply of energy crops (crop_res),tonne
Satellite account,use of energy crops (crop_res),tonne
Satellite account,grass (crop_res),tonne
Satellite account,other non market feed (crop_res),tonne
Satellite account,use of other non-N nutrients from N-fertilisers (crop_res),tonne
Satellite account,Food (Unreg_w),tonne
Satellite account,Manure (Unreg_w),tonne
Satellite account,Textile (Unreg_w),tonne
Satellite account,Wood (Unreg_w),tonne
Satellite account,Paper (Unreg_w),tonne
Satellite account,Plastics (Unreg_w),tonne
Satellite account,Glass (Unreg_w),tonne
Satellite account,Ashes (Unreg_w),tonne
Satellite account,Steel (Unreg_w),tonne
Satellite account,Precious metals (Unreg_w),tonne
Satellite account,Aluminium (Unreg_w),tonne
Satellite account,Lead (Unreg_w),tonne
Satellite account,Copper (Unreg_w),tonne
Satellite account,non-ferrous metals (Unreg_w),tonne
Satellite account,Construction materials and mining waste (excl. unused mining material) (Unreg_w),tonne
Satellite account,Oils and hazardous materials (Unreg_w),tonne
Satellite account,Sewage (Unreg_w),tonne
Satellite account,Mining waste (Unreg_w),tonne
Satellite account,Unused waste (Unreg_w),tonne
Satellite account,Employment hours: High-skilled female,million hours
Satellite account,Employment hours: High-skilled male,million hours
Satellite account,Employment hours: Low-skilled female,million hours
Satellite account,Employment hours: Low-skilled male,million hours
Satellite account,Employment hours: Medium-skilled female,million hours
Satellite account,Employment hours: Medium-skilled male,million hours
Satellite account,Employment hours: Vulnerable employment,million hours
Satellite account,Employment: High-skilled female,1000 persons
Satellite account,Employment: High-skilled male,1000 persons
Satellite account,Employment: Low-skilled female,1000 persons
Satellite account,Employment: Low-skilled male,1000 persons
Satellite account,Employment: Medium-skilled female,1000 persons
Satellite account,Employment: Medium-skilled male,1000 persons
Satellite account,Employment: Vulnerable employment,1000 persons
